SYSTEEM,JAAR_MAAND,PROVINCIENAAM,PLEEGGEMEENTE,PAALGEGEVENS,OMSCHRIJVING_FEITGROEP,INSTROOM,FLEX
WAHV ,2024 01,Drenthe,Assen,3607 Assen vaart zuidzijde thv kazerne,Snelheid,367
WAHV ,2024 01,Overijssel,Enschede,4026 Enschede gronausestraat kruising euregioweg,Verkeerslicht,125
WAHV ,2024 01,Overijssel,Enschede,4027 Enschede volksparksingel kruising westerval,Snelheid,18
WAHV ,2024 01,Overijssel,Enschede,4027 Enschede volksparksingel kruising westerval,Verkeerslicht,123
WAHV ,2024 01,Overijssel,Enschede,4105 Enschede gronausestraat kruising oostweg,Snelheid,415
WAHV ,2024 01,Overijssel,Enschede,4105 Enschede gronausestraat kruising oostweg,Verkeerslicht,137
WAHV ,2024 01,Overijssel,Hardenberg,3063 Hardenberg n377 hoofdweg thv hmp 38.3,Snelheid,119
WAHV ,2024 01,Overijssel,Kampen,3613 Kampen n50 thv hmp 243.1,Snelheid,1669
WAHV ,2024 01,Overijssel,Kampen,3614 Kampen n50 thv hmp 242.7,Snelheid,596
WAHV ,2024 01,Overijssel,Wierden,3552 Wierden n35 nijverdalsestraat kruising nottermorsweg,Snelheid,165
WAHV ,2024 01,Overijssel,Wierden,3552 Wierden n35 nijverdalsestraat kruising nottermorsweg,Verkeerslicht,12
WAHV ,2024 01,Overijssel,Wierden,3553 Wierden n35 nijverdalsestraat kruising vossenbosweg,Snelheid,152
WAHV ,2024 01,Overijssel,Wierden,3553 Wierden n35 nijverdalsestraat kruising vossenbosweg,Verkeerslicht,7
WAHV ,2024 01,Overijssel,Zwolle,3077 Zwolle n337 ijsselallee kruising nieuwe veerallee,Snelheid,188
WAHV ,2024 01,Overijssel,Zwolle,3077 Zwolle n337 ijsselallee kruising nieuwe veerallee,Verkeerslicht,58
WAHV ,2024 01,Overijssel,Zwolle,3080 Zwolle n35 heinoseweg kruising zalneweg,Snelheid,383
WAHV ,2024 01,Overijssel,Zwolle,3080 Zwolle n35 heinoseweg kruising zalneweg,Verkeerslicht,25
WAHV ,2024 01,Overijssel,Zwolle,3091 Zwolle zwartewaterallee richting kruising middelweg,Snelheid,380
WAHV ,2024 01,Overijssel,Zwolle,3093 Zwolle zwartewaterallee richting kruising rijnlaan,Snelheid,730
WAHV ,2024 01,Overijssel,Zwolle,3094 Zwolle n337 ijsselallee kruising reysigerweg,Snelheid,188
WAHV ,2024 01,Overijssel,Zwolle,3094 Zwolle n337 ijsselallee kruising reysigerweg,Verkeerslicht,16
WAHV ,2024 01,Overijssel,Zwolle,3095 Zwolle n337 ijsselallee kruising hanzelaan,Snelheid,180
WAHV ,2024 01,Overijssel,Zwolle,3095 Zwolle n337 ijsselallee kruising hanzelaan,Verkeerslicht,21
WAHV ,2024 01,Overijssel,Zwolle,3616 Zwolle zwartewaterallee thv lichtmast 243,Snelheid,397
WAHV ,2024 01,Overijssel,Zwolle,3736 Zwolle oldeneelallee thv lichtmast 242a,Snelheid,36
WAHV ,2024 01,Utrecht,Amersfoort,3066 Amersfoort n199 amsterdamseweg kruising twentseweg,Snelheid,93
WAHV ,2024 01,Utrecht,Amersfoort,3066 Amersfoort n199 amsterdamseweg kruising twentseweg,Verkeerslicht,9
WAHV ,2024 01,Utrecht,Amersfoort,3067 Amersfoort amsterdamseweg kruising radiumweg,Snelheid,143
WAHV ,2024 01,Utrecht,Amersfoort,3067 Amersfoort amsterdamseweg kruising radiumweg,Verkeerslicht,9
WAHV ,2024 01,Utrecht,Amersfoort,3110 Amersfoort ringweg kruiskamp kruising liendertseweg thv lichtmast 822034,Snelheid,116
WAHV ,2024 01,Utrecht,Amersfoort,3110 Amersfoort ringweg kruiskamp kruising liendertseweg thv lichtmast 822034,Verkeerslicht,41
WAHV ,2024 01,Utrecht,Amersfoort,3113 Amersfoort ringweg kruiskamp kruising liendertseweg thv lichtmast 822033,Snelheid,76
WAHV ,2024 01,Utrecht,Amersfoort,3113 Amersfoort ringweg kruiskamp kruising liendertseweg thv lichtmast 822033,Verkeerslicht,40
WAHV ,2024 01,Utrecht,Amersfoort,3115 Amersfoort ringweg koppel kruising meridiaan,Snelheid,75
WAHV ,2024 01,Utrecht,Amersfoort,3115 Amersfoort ringweg koppel kruising meridiaan,Verkeerslicht,12
WAHV ,2024 01,Utrecht,Amersfoort,3116 Amersfoort ringweg koppel kruising kattenbroekerweg,Snelheid,179
WAHV ,2024 01,Utrecht,Amersfoort,3116 Amersfoort ringweg koppel kruising kattenbroekerweg,Verkeerslicht,39
WAHV ,2024 01,Utrecht,Amersfoort,3118 Amersfoort stadsring kr sint andriesstraat thv lichtmast 900701,Snelheid,357
WAHV ,2024 01,Utrecht,Amersfoort,3118 Amersfoort stadsring kr sint andriesstraat thv lichtmast 900701,Verkeerslicht,18
WAHV ,2024 01,Utrecht,Amersfoort,3422 Amersfoort rondweg-oost kruising zijderupsvlinder,Snelheid,81
WAHV ,2024 01,Utrecht,Amersfoort,3422 Amersfoort rondweg-oost kruising zijderupsvlinder,Verkeerslicht,10
WAHV ,2024 01,Utrecht,Amersfoort,3423 Amersfoort  hogeweg kruising ringweg kruiskamp,Snelheid,77
WAHV ,2024 01,Utrecht,Amersfoort,3423 Amersfoort  hogeweg kruising ringweg kruiskamp,Verkeerslicht,17
WAHV ,2024 01,Utrecht,Amersfoort,3424 Amersfoort hogeweg kruising ringweg randenbroek,Snelheid,109
WAHV ,2024 01,Utrecht,Amersfoort,3424 Amersfoort hogeweg kruising ringweg randenbroek,Verkeerslicht,18
WAHV ,2024 01,Utrecht,Amersfoort,3425 Amersfoort  amsterdamseweg kruising industrieweg,Snelheid,110
WAHV ,2024 01,Utrecht,Amersfoort,3425 Amersfoort  amsterdamseweg kruising industrieweg,Verkeerslicht,28
WAHV ,2024 01,Utrecht,Amersfoort,3426 Amersfoort rondweg-noord kruising zevenhuizerstraat richting nieuwland,Snelheid,13
WAHV ,2024 01,Utrecht,Amersfoort,3426 Amersfoort rondweg-noord kruising zevenhuizerstraat richting nieuwland,Verkeerslicht,2
WAHV ,2024 01,Utrecht,Amersfoort,3427 Amersfoort  rondweg-noord kruising zevenhuizerstraat richting centrum,Snelheid,20
WAHV ,2024 01,Utrecht,Amersfoort,3427 Amersfoort  rondweg-noord kruising zevenhuizerstraat richting centrum,Verkeerslicht,5
WAHV ,2024 01,Utrecht,Amersfoort,3428 Amersfoort  amsterdamseweg kruising merwedestraat,Snelheid,77
WAHV ,2024 01,Utrecht,Amersfoort,3428 Amersfoort  amsterdamseweg kruising merwedestraat,Verkeerslicht,15
WAHV ,2024 01,Utrecht,Amersfoort,3429 Amersfoort  rondweg-oost kruising zielhorsterweg,Snelheid,35
WAHV ,2024 01,Utrecht,Amersfoort,3429 Amersfoort  rondweg-oost kruising zielhorsterweg,Verkeerslicht,32
WAHV ,2024 01,Utrecht,Amersfoort,4011 Amersfoort n199 bunschoterstraat kruising zevenhuizerstraat,Snelheid,40
WAHV ,2024 01,Utrecht,Amersfoort,4011 Amersfoort n199 bunschoterstraat kruising zevenhuizerstraat,Verkeerslicht,30
WAHV ,2024 01,Utrecht,Amersfoort,4012 Amersfoort n199 bunschoterstraat kruising coelhorsterweg,Snelheid,73
WAHV ,2024 01,Utrecht,Amersfoort,4012 Amersfoort n199 bunschoterstraat kruising coelhorsterweg,Verkeerslicht,28
WAHV ,2024 01,Utrecht,Baarn,3009 Baarn drakenburgerweg thv perceel 41,Snelheid,290
WAHV ,2024 01,Utrecht,De Bilt,3636 De Bilt n234 nieuwe weteringseweg thv hmp 2.2,Snelheid,285
WAHV ,2024 01,Utrecht,De Ronde Venen,3563 De Ronde Venen n201 provincialeweg kruising veenweg,Snelheid,110
WAHV ,2024 01,Utrecht,De Ronde Venen,3563 De Ronde Venen n201 provincialeweg kruising veenweg,Verkeerslicht,8
WAHV ,2024 01,Utrecht,IJsselstein,3085 IJsselstein utrechtseweg kruising n210,Verkeerslicht,23
WAHV ,2024 01,Utrecht,IJsselstein,4101 IJsselstein n210 thv hmp 47.8,Snelheid,1337
WAHV ,2024 01,Utrecht,Leusden,4018 Leusden randweg kruising groene zoom ri middenweg,Snelheid,490
WAHV ,2024 01,Utrecht,Leusden,4018 Leusden randweg kruising groene zoom ri middenweg,Verkeerslicht,79
WAHV ,2024 01,Utrecht,Lopik,3564 Lopik n 204 m.a. reinaldaweg kruising benedeneind zuidzijde,Snelheid,3
WAHV ,2024 01,Utrecht,Lopik,3564 Lopik n 204 m.a. reinaldaweg kruising benedeneind zuidzijde,Verkeerslicht,13
WAHV ,2024 01,Utrecht,Lopik,3924 Lopik n210 m.a. reinaldaweg kruising lopikerweg oost,Snelheid,7
WAHV ,2024 01,Utrecht,Lopik,3924 Lopik n210 m.a. reinaldaweg kruising lopikerweg oost,Verkeerslicht,14
WAHV ,2024 01,Utrecht,Nieuwegein,3565 Nieuwegein weg naar de poort kruising buizerdlaan,Snelheid,774
WAHV ,2024 01,Utrecht,Nieuwegein,3565 Nieuwegein weg naar de poort kruising buizerdlaan,Verkeerslicht,25
WAHV ,2024 01,Utrecht,Nieuwegein,3746 Nieuwegein symfonielaan t.h.v. kruising harmonielaan,Snelheid,511
WAHV ,2024 01,Utrecht,Nieuwegein,3915 Nieuwegein n408 plettenburgerbaan kruising perkinsbaan,Snelheid,102
WAHV ,2024 01,Utrecht,Nieuwegein,3915 Nieuwegein n408 plettenburgerbaan kruising perkinsbaan,Verkeerslicht,11
WAHV ,2024 01,Utrecht,Nieuwegein,4009 Nieuwegein a.c. verhoefweg kruising barnsteendrift,Snelheid,65
WAHV ,2024 01,Utrecht,Nieuwegein,4009 Nieuwegein a.c. verhoefweg kruising barnsteendrift,Verkeerslicht,20
WAHV ,2024 01,Utrecht,Rhenen,6600 Rhenen n233 lijnweg kruising achterbergsestraatweg,Snelheid,1000
WAHV ,2024 01,Utrecht,Rhenen,6600 Rhenen n233 lijnweg kruising achterbergsestraatweg,Verkeerslicht,30
WAHV ,2024 01,Utrecht,Soest,3031 Soest n234 biltseweg thv hmp 8.4,Snelheid,51
WAHV ,2024 01,Utrecht,Soest,3637 Soest soesterbergsestraat thv perceel 120,Snelheid,638
WAHV ,2024 01,Utrecht,Soest,3638 Soest stadhouderslaan thv perceel 92,Snelheid,470
WAHV ,2024 01,Utrecht,Soest,4104 Soest vredehofstraat kruising colenso,Snelheid,985
WAHV ,2024 01,Utrecht,Stichtse Vecht,3322 Stichtse Vecht n201 provincialeweg kruising n402 thv hmp 63.4,Snelheid,4
WAHV ,2024 01,Utrecht,Stichtse Vecht,3322 Stichtse Vecht n201 provincialeweg kruising n402 thv hmp 63.4,Verkeerslicht,8
WAHV ,2024 01,Utrecht,Stichtse Vecht,4013 Stichtse Vecht n201 provincialeweg kruising loenenseweg,Snelheid,895
WAHV ,2024 01,Utrecht,Stichtse Vecht,4013 Stichtse Vecht n201 provincialeweg kruising loenenseweg,Verkeerslicht,10
WAHV ,2024 01,Utrecht,Stichtse Vecht,4014 Stichtse Vecht n201 provincialeweg kruising singel,Snelheid,1403
WAHV ,2024 01,Utrecht,Stichtse Vecht,4014 Stichtse Vecht n201 provincialeweg kruising singel,Verkeerslicht,21
WAHV ,2024 01,Utrecht,Utrecht,3052 Utrecht europalaan kruising beneluxlaan,Snelheid,54
WAHV ,2024 01,Utrecht,Utrecht,3052 Utrecht europalaan kruising beneluxlaan,Verkeerslicht,46
WAHV ,2024 01,Utrecht,Utrecht,3055 Utrecht amsterdamsestraatweg kruising julianaparklaan,Snelheid,28
WAHV ,2024 01,Utrecht,Utrecht,3055 Utrecht amsterdamsestraatweg kruising julianaparklaan,Verkeerslicht,24
WAHV ,2024 01,Utrecht,Utrecht,3566 Utrecht beneluxlaan kruising bernadottelaan,Snelheid,334
WAHV ,2024 01,Utrecht,Utrecht,3566 Utrecht beneluxlaan kruising bernadottelaan,Verkeerslicht,41
WAHV ,2024 01,Utrecht,Utrecht,3567 Utrecht van heuven goedhartlaan kruising beneluxlaan,Snelheid,1
WAHV ,2024 01,Utrecht,Utrecht,3567 Utrecht van heuven goedhartlaan kruising beneluxlaan,Verkeerslicht,13
WAHV ,2024 01,Utrecht,Utrecht,3568 Utrecht humberdreef kruising einsteindreef,Snelheid,5
WAHV ,2024 01,Utrecht,Utrecht,3568 Utrecht humberdreef kruising einsteindreef,Verkeerslicht,15
WAHV ,2024 01,Utrecht,Utrecht,3818 Utrecht graadt van roggenweg thv perceel 49,Snelheid,352
WAHV ,2024 01,Utrecht,Utrecht,3818 Utrecht graadt van roggenweg thv perceel 49,Verkeerslicht,292
WAHV ,2024 01,Utrecht,Utrecht,3819 Utrecht graadt van roggenweg thv perceel 400,Snelheid,274
WAHV ,2024 01,Utrecht,Utrecht,3819 Utrecht graadt van roggenweg thv perceel 400,Verkeerslicht,126
WAHV ,2024 01,Utrecht,Utrecht,3820 Utrecht marnixlaan kruising amsterdamsestraatweg,Snelheid,7
WAHV ,2024 01,Utrecht,Utrecht,3820 Utrecht marnixlaan kruising amsterdamsestraatweg,Verkeerslicht,147
WAHV ,2024 01,Utrecht,Utrecht,3821 Utrecht st. josephlaan kruising amsterdamsestraatweg,Snelheid,67
WAHV ,2024 01,Utrecht,Utrecht,3821 Utrecht st. josephlaan kruising amsterdamsestraatweg,Verkeerslicht,83
WAHV ,2024 01,Utrecht,Utrecht,4020 Utrecht franciscusdreef kruising met orinocodreef,Snelheid,693
WAHV ,2024 01,Utrecht,Utrecht,4020 Utrecht franciscusdreef kruising met orinocodreef,Verkeerslicht,33
WAHV ,2024 01,Utrecht,Utrecht,4021 Utrecht rubenslaan kruising adriaen van ostadelaan,Snelheid,252
WAHV ,2024 01,Utrecht,Utrecht,4021 Utrecht rubenslaan kruising adriaen van ostadelaan,Verkeerslicht,116
WAHV ,2024 01,Utrecht,Utrecht,4301 Utrecht stadsbaan leidsche rijn t.h.v. lichtmast 74,Snelheid,608,True
WAHV ,2024 01,Utrecht,Utrechtse Heuvelrug,3635 Utrechtse Heuvelrug n225 dorpsstraat thv kruising gezichtslaan,Snelheid,542
WAHV ,2024 01,Utrecht,Vijfheerenlanden,3688 Vijfheerenlanden n484 schaikseweg thv hmp 1.7,Snelheid,372
WAHV ,2024 01,Utrecht,Woerden,3562 Woerden europabaan kruising wulverhorstbaan,Snelheid,77
WAHV ,2024 01,Utrecht,Woerden,3562 Woerden europabaan kruising wulverhorstbaan,Verkeerslicht,23
WAHV ,2024 01,Utrecht,Woerden,4010 Woerden n204 europabaan kruising noordzee,Snelheid,434
WAHV ,2024 01,Utrecht,Woerden,4010 Woerden n204 europabaan kruising noordzee,Verkeerslicht,27
WAHV ,2024 01,Utrecht,Woerden,4100 Woerden hollandbaan kr waardsebaan ri molenvlietbaan,Snelheid,470
WAHV ,2024 01,Utrecht,Woerden,4100 Woerden hollandbaan kr waardsebaan ri molenvlietbaan,Verkeerslicht,30
WAHV ,2024 01,Utrecht,Woerden,4103 Woerden hollandbaan kr waardsebaan ri wulverhorstbaan,Snelheid,107
WAHV ,2024 01,Utrecht,Woerden,4103 Woerden hollandbaan kr waardsebaan ri wulverhorstbaan,Verkeerslicht,14
WAHV ,2024 01,Utrecht,Zeist,3034 Zeist n237 amersfoortseweg kruising panweg,Snelheid,35
WAHV ,2024 01,Utrecht,Zeist,3034 Zeist n237 amersfoortseweg kruising panweg,Verkeerslicht,7
WAHV ,2024 01,Zeeland,Goes,3867 Goes n256 deltaweg kruising langeweg,Snelheid,50
WAHV ,2024 01,Zeeland,Goes,3867 Goes n256 deltaweg kruising langeweg,Verkeerslicht,24
WAHV ,2024 01,Zeeland,Goes,3868 Goes a256 deltaweg kruising s-heer hendrikskinderendijk,Snelheid,93
WAHV ,2024 01,Zeeland,Goes,3868 Goes a256 deltaweg kruising s-heer hendrikskinderendijk,Verkeerslicht,9
WAHV ,2024 01,Zeeland,Goes,3869 Goes n256 deltaweg kruising nieuwe rijksweg,Snelheid,12
WAHV ,2024 01,Zeeland,Goes,3869 Goes n256 deltaweg kruising nieuwe rijksweg,Verkeerslicht,5
WAHV ,2024 01,Zeeland,Hulst,4610 Hulst n290 gentsevaart thv huisnummer 43,Snelheid,1056,True
WAHV ,2024 01,Zeeland,Middelburg,3058 Middelburg schroeweg kruising torenweg,Snelheid,359
WAHV ,2024 01,Zeeland,Middelburg,3058 Middelburg schroeweg kruising torenweg,Verkeerslicht,43
WAHV ,2024 01,Zeeland,Middelburg,3933 Middelburg schroeweg kruising torenweg,Snelheid,373
WAHV ,2024 01,Zeeland,Middelburg,3933 Middelburg schroeweg kruising torenweg,Verkeerslicht,44
WAHV ,2024 01,Zeeland,Schouwen-Duiveland,3017 Schouwen-Duiveland n57 serooskerkseweg thv hmp 49.6,Snelheid,233
WAHV ,2024 01,Zeeland,Schouwen-Duiveland,3880 Schouwen-Duiveland n59 rijksweg thv hmp 25.7 richting bruinisse,Snelheid,664
WAHV ,2024 01,Zeeland,Schouwen-Duiveland,3881 Schouwen-Duiveland n59 rijksweg thv hmp 25.7 richting oosterland,Snelheid,726
WAHV ,2024 01,Zeeland,Sluis,3866 Sluis n253 nieuwstraat thv hmp 8.0,Snelheid,652
WAHV ,2024 01,Zeeland,Tholen,3013 Tholen n286 nieuwe postweg kruising reimerswaalseweg,Snelheid,10
WAHV ,2024 01,Zeeland,Tholen,3013 Tholen n286 nieuwe postweg kruising reimerswaalseweg,Verkeerslicht,5
WAHV ,2024 01,Zeeland,Tholen,3865 Tholen n656 oud-vossemeersedijk thv hmp 3.9,Snelheid,151
WAHV ,2024 01,Zeeland,Veere,3014 Veere n288 rondweg biggekerke kruising valkenisseweg,Snelheid,21
WAHV ,2024 01,Zeeland,Veere,3014 Veere n288 rondweg biggekerke kruising valkenisseweg,Verkeerslicht,7
WAHV ,2024 01,Zeeland,Veere,4634 Veere hondegemsweg thv huisnr 31,Snelheid,732,True
WAHV ,2024 01,Zeeland,Vlissingen,3493 Vlissingen n661 nieuwe vlissingseweg kruising nieuwe zuidbeekseweg,Snelheid,82
WAHV ,2024 01,Zeeland,Vlissingen,3493 Vlissingen n661 nieuwe vlissingseweg kruising nieuwe zuidbeekseweg,Verkeerslicht,15
WAHV ,2024 01,Zeeland,Vlissingen,4102 Vlissingen sloeweg thv afslag weijevlietweg,Snelheid,779
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3217 's-Gravenhage s104 oude haagweg kruising thorbeckelaan,Snelheid,32
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3217 's-Gravenhage s104 oude haagweg kruising thorbeckelaan,Verkeerslicht,121
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3221 's-Gravenhage s102 raamweg kruising laan copes van cattenburch,Snelheid,181
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3221 's-Gravenhage s102 raamweg kruising laan copes van cattenburch,Verkeerslicht,84
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3223 's-Gravenhage zoetermeerse rijweg kruising pijlkruidveld,Snelheid,76
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3223 's-Gravenhage zoetermeerse rijweg kruising pijlkruidveld,Verkeerslicht,21
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3224 's-Gravenhage s104 loosduinsekade kruising zusterstraat,Snelheid,14
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3224 's-Gravenhage s104 loosduinsekade kruising zusterstraat,Verkeerslicht,33
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3225 's-Gravenhage zoetermeerse rijweg kruising emmy belinfantedreef,Snelheid,106
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3225 's-Gravenhage zoetermeerse rijweg kruising emmy belinfantedreef,Verkeerslicht,7
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3226 's-Gravenhage s200 segbroeklaan kruising goudenregenstraat,Snelheid,112
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3226 's-Gravenhage s200 segbroeklaan kruising goudenregenstraat,Verkeerslicht,19
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3441 's-Gravenhage zoetermeerse rijweg kruising oude middenweg,Snelheid,395
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3441 's-Gravenhage zoetermeerse rijweg kruising oude middenweg,Verkeerslicht,19
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3442 's-Gravenhage zoetermeerse rijweg kruising spieringdam,Snelheid,130
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3442 's-Gravenhage zoetermeerse rijweg kruising spieringdam,Verkeerslicht,3
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3444 's-Gravenhage van alkemadelaan kruising waalsdorperweg,Snelheid,1
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3444 's-Gravenhage van alkemadelaan kruising waalsdorperweg,Verkeerslicht,1
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3836 's-Gravenhage laan copes van cattenburch thv perceel 72,Snelheid,348
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3897 's-Gravenhage vaillantlaan kruising hoefkade ri laak,Snelheid,74
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,3897 's-Gravenhage vaillantlaan kruising hoefkade ri laak,Verkeerslicht,122
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,4015 's-Gravenhage vaillantlaan kr hoefkade ri schildersbuurt,Snelheid,93
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,4015 's-Gravenhage vaillantlaan kr hoefkade ri schildersbuurt,Verkeerslicht,163
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,4024 's-Gravenhage benoordenhoutseweg kr laan van clingendael ri den haag,Snelheid,1706
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,4024 's-Gravenhage benoordenhoutseweg kr laan van clingendael ri den haag,Verkeerslicht,13
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,4025 's-Gravenhage benoordenhoutseweg kr laan van clingendael ri wassenaar,Snelheid,3640
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,4025 's-Gravenhage benoordenhoutseweg kr laan van clingendael ri wassenaar,Verkeerslicht,16
WAHV ,2024 01,Zuid-Holland,'s-Gravenhage,4313 's-Gravenhage vreeswijkstraat thv huisnummer 151,Snelheid,875,True
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3268 Albrandswaard n492 groene kruisweg kruising kerkachterweg,Snelheid,50
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3268 Albrandswaard n492 groene kruisweg kruising kerkachterweg,Verkeerslicht,3
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3269 Albrandswaard n492 groene kruisweg kruising zwaardijk thv hmp 4.9,Snelheid,121
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3269 Albrandswaard n492 groene kruisweg kruising zwaardijk thv hmp 4.9,Verkeerslicht,3
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3270 Albrandswaard n492 groene kruisweg kruising dorpsdijk richting spijkenisse,Snelheid,456
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3270 Albrandswaard n492 groene kruisweg kruising dorpsdijk richting spijkenisse,Verkeerslicht,5
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3271 Albrandswaard n492 groene kruisweg kruising dorpsdijk richting rotterdam,Snelheid,156
WAHV ,2024 01,Zuid-Holland,Albrandswaard,3271 Albrandswaard n492 groene kruisweg kruising dorpsdijk richting rotterdam,Verkeerslicht,3
WAHV ,2024 01,Zuid-Holland,Albrandswaard,6631 Albrandswaard n492 groene kruisweg kruising rivierweg richting poortugaal,Snelheid,317
WAHV ,2024 01,Zuid-Holland,Albrandswaard,6631 Albrandswaard n492 groene kruisweg kruising rivierweg richting poortugaal,Verkeerslicht,68
WAHV ,2024 01,Zuid-Holland,Albrandswaard,6633 Albrandswaard n492 groene kruisweg kruising zwaardijk thv hmp 3.5,Snelheid,40
WAHV ,2024 01,Zuid-Holland,Albrandswaard,6633 Albrandswaard n492 groene kruisweg kruising zwaardijk thv hmp 3.5,Verkeerslicht,17
WAHV ,2024 01,Zuid-Holland,Albrandswaard,6634 Albrandswaard n492 groene kruisweg kruising schroeder van de kolklaan,Snelheid,74
WAHV ,2024 01,Zuid-Holland,Albrandswaard,6634 Albrandswaard n492 groene kruisweg kruising schroeder van de kolklaan,Verkeerslicht,8
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3003 Alphen aan den Rijn n11 kruising compierekade,Verkeerslicht,9
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3236 Alphen aan den Rijn albert schweitzerbrug kruising hoorn richting centrum,Snelheid,119
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3236 Alphen aan den Rijn albert schweitzerbrug kruising hoorn richting centrum,Verkeerslicht,5
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3240 Alphen aan den Rijn eisenhowerlaan kruising het oude ambacht richting centrum,Snelheid,117
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3240 Alphen aan den Rijn eisenhowerlaan kruising het oude ambacht richting centrum,Verkeerslicht,5
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3242 Alphen aan den Rijn eisenhowerlaan kruising horstenweg richting herenweg,Snelheid,154
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3242 Alphen aan den Rijn eisenhowerlaan kruising horstenweg richting herenweg,Verkeerslicht,8
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3454 Alphen aan den Rijn eisenhowerlaan kruising bruins slotsingel ri ring (west),Snelheid,85
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3454 Alphen aan den Rijn eisenhowerlaan kruising bruins slotsingel ri ring (west),Verkeerslicht,12
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3455 Alphen aan den Rijn eisenhowerlaan kruising bruins slotsingel richting centrum,Snelheid,76
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,3455 Alphen aan den Rijn eisenhowerlaan kruising bruins slotsingel richting centrum,Verkeerslicht,13
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,6648 Alphen aan den Rijn n207 oostkanaalweg kruising oranje nassausingel,Snelheid,1161
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,6648 Alphen aan den Rijn n207 oostkanaalweg kruising oranje nassausingel,Verkeerslicht,12
WAHV ,2024 01,Zuid-Holland,Alphen aan den Rijn,6649 Alphen aan den Rijn n207 alphenseweg thv hmp 28.3,Snelheid,4271
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,3464 Capelle aan den IJssel prins alexanderlaan kruising `s gravenweg,Snelheid,13
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,3464 Capelle aan den IJssel prins alexanderlaan kruising `s gravenweg,Verkeerslicht,15
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,3478 Capelle aan den IJssel a20 (zuid) afrit16 kruising capelseweg,Verkeerslicht,205
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,3479 Capelle aan den IJssel a20 (noord) afrit16 kruising capelseweg,Snelheid,1
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,3479 Capelle aan den IJssel a20 (noord) afrit16 kruising capelseweg,Verkeerslicht,53
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,6602 Capelle aan den IJssel s109 capelseweg kruising lylantse baan,Snelheid,1029
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,6602 Capelle aan den IJssel s109 capelseweg kruising lylantse baan,Verkeerslicht,83
WAHV ,2024 01,Zuid-Holland,Capelle aan den IJssel,6604 Capelle aan den IJssel hoofdweg kruising capelseweg,Snelheid,27
